title,image,date,latitude,longitude
"Gentoo penguin (Pygoscelis papua) on rocky shoreline amidst blocks of blue ice, Antarctica",https://windows10spotlight.com/wp-content/uploads/2025/11/cdc49d6290df2e256ed13378810f7fe6-1024x576.jpg,9/1/2025,-82.8627519,135
"Strongest gentoo penguin, funny baby chick with mom, Antarctica",https://windows10spotlight.com/wp-content/uploads/2024/03/4d4031438059d8932fb9d5066eafadd4-1024x576.jpg,3/31/2024,-82.8627519,135
Sunrise in Antarctica,https://windows10spotlight.com/wp-content/uploads/2024/03/4995f79345a6015e328df0ce8b7dd19f-1024x576.jpg,3/6/2024,-82.8627519,135
"Chinstrap penguins group on iceberg (Pygoscelis antarctica), Antarctica",https://windows10spotlight.com/wp-content/uploads/2022/08/f8dab3239012d6f6ce472bd36853cc03-1024x576.jpg,8/9/2022,-82.8627519,135
"View of emperor penguin in group, Antarctica",https://windows10spotlight.com/wp-content/uploads/2022/03/a982e4c7a7964eec64709a96bd1d320d-1024x576.jpg,3/11/2022,-82.8627519,135
"Emperor penguin colony with frozen in icebergs as a backdrop, Antarctica",https://windows10spotlight.com/wp-content/uploads/2020/12/2c9d8293c6b7f965fda2784465b83505-1024x576.jpg,12/20/2020,-82.8627519,135
"A group of Adelie penguins rest on vivid blue ice, Antarctica",https://windows10spotlight.com/wp-content/uploads/2020/10/6b0d9db8b7cbf20618dde5cccef4b115-1024x576.jpg,10/20/2020,-82.8627519,135
Field camp in Antarctica,https://windows10spotlight.com/wp-content/uploads/2017/11/ff07326b2e3f48f509eabedb27351487-1024x576.jpg,11/14/2017,-82.8627519,135
"Coastal landscape lit by the midnight sun, Antarctic Peninsula, Antarctica",https://windows10spotlight.com/wp-content/uploads/2017/11/f9601bb48e5e55773c855941512df7b3-1024x576.jpg,11/8/2017,-82.8627519,135
"Sleeping Lion in Cierva Cove, Cape Herschel, Hughes Bay, Antarctica",https://windows10spotlight.com/wp-content/uploads/2017/11/83606962705a0713069a6c28f938f176-1024x576.jpg,11/13/2017,-75.250973,-0.071389
Lemaire Channel on the Antarctic Peninsula in Antarctica,https://windows10spotlight.com/wp-content/uploads/2017/01/e3675eb47d4fc6ac85b3a65b41702005-1024x576.jpg,1/20/2017,-75.250973,-0.071389
"Researcher working at an ice camp under clear polar sky, Weddell Sea, Antarctica",https://windows10spotlight.com/wp-content/uploads/2019/08/c2df44ce83d52a252734ca3062ab5ca6-1024x576.jpg,8/12/2019,-71.1879011,-45
"Emperor Penguin (Aptenodytes forsteri) chicks on slope, Prydz Bay, eastern Antarctica",https://windows10spotlight.com/wp-content/uploads/2016/11/52208454a10c3e4dfbdc63fb9df8ab6b-1024x576.png,11/15/2016,-68.8244735,73.5089254
"Iceberg in front of a glacier, western Antarctic peninsula, Antarctica, Southern Ocean",https://windows10spotlight.com/wp-content/uploads/2023/10/aa84b81a27b1a9f433f91d3a28f783a7-1024x576.jpg,10/29/2023,-68.4380135,-160.2340459
"Sunset over iceberg graveyard in Pléneau Bay Glacier, Antarctica",https://windows10spotlight.com/wp-content/uploads/2019/09/c1048ba8b897b9a87e3c025ec164e5cf-1024x576.jpg,9/24/2019,-65.06,-64.04
"Iceberg in Paradise Harbor, Antarctic Peninsula, Antarctica",https://windows10spotlight.com/wp-content/uploads/2017/05/7901c96e789b183b4184633cef4d6c64-1024x576.jpg,5/17/2017,-64.8574435,-62.9201434
"Gentoo penguin standing on the rocks, Neko Harbour, Antarctica",https://windows10spotlight.com/wp-content/uploads/2023/11/f81f39234a38c0047ebd97cf207d06c9-1024x576.jpg,11/4/2023,-64.8330507,-62.6664299
"Gentoo penguin poses on rock, Neko Harbour, Antarctica",https://windows10spotlight.com/wp-content/uploads/2017/11/12ba929acf07e0bfc44a4ea3071bda5f-1024x576.jpg,11/9/2017,-64.8330507,-62.6664299
Full moon rising over Wilhelmina Bay in Antarctica,https://windows10spotlight.com/wp-content/uploads/2017/11/748eecdf9a817226c9c2fa14ba58b76e-1024x576.jpg,11/6/2017,-64.633333,-62.166667
"Underwater view of arched Iceberg floating near Enterprise Island, Antarctica",https://windows10spotlight.com/wp-content/uploads/2021/01/345a638ba557e742cbd380c2fd2b3908-1024x576.jpg,1/22/2021,-64.32,-62.06
"Archway formed in a glacial iceberg at Cierva Cove, Antarctica",https://windows10spotlight.com/wp-content/uploads/2017/11/991c8b48f14d41551cd2c241eb6da500-1024x576.jpg,11/6/2017,-64.156839,-60.8854138
"Rust-colored volcanic tuff cliffs of Brown Bluff,  Tabarin Peninsula, Antarctica",https://windows10spotlight.com/wp-content/uploads/2022/04/ea0207890132e2747999ccd5c55de430-1024x576.jpg,4/13/2022,-63.533333,-56.9
"Half Moon Island in South Shetland Islands, Antarctica",https://windows10spotlight.com/wp-content/uploads/2017/11/82b87aef75a1ae2c6407e6abe14191c1-1024x576.jpg,11/5/2017,-62.5883795,-59.9214519
"Landscape of conical mountain peaks on King George Island, Antarctica",https://windows10spotlight.com/wp-content/uploads/2017/11/cc56405b3b9f23dcee6a3c4b958ccd2c-1024x576.jpg,11/17/2017,-61.988194,-58.0196041
